Naam,URL,koppelbedrijf,brandstof,prijs,datum
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,104",2025-12-05
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,988",2025-12-05
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,781",2025-12-05
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-05
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-05
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-05
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.569,2025-12-05
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.769,2025-12-05
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.629,2025-12-05
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.849,2025-12-05
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,2.019,2025-12-05
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.116,2025-12-05
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.759,2025-12-05
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.979,2025-12-05
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.179,2025-12-05
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.159,2025-12-05
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.709,2025-12-05
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-05
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Euro95 E10,1.909,2025-12-05
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Euro 95,"2,128",2025-12-05
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Diesel,"2,014",2025-12-05
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,Autogas,"0,781",2025-12-05
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power,"0,000",2025-12-05
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power Diesel,"0,000",2025-12-05
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Diesel B7,1.699,2025-12-05
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Euro95 E10,1.909,2025-12-05
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.159,2025-12-05
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.149,2025-12-05
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.629,2025-12-05
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.749,2025-12-05
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.859,2025-12-05
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-05
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,359",2025-12-07
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,986",2025-12-07
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,783",2025-12-07
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-07
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-07
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-07
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.529,2025-12-07
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.755,2025-12-07
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.609,2025-12-07
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.839,2025-12-07
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,2.009,2025-12-07
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.113,2025-12-07
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.669,2025-12-07
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.849,2025-12-07
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.139,2025-12-07
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.139,2025-12-07
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.669,2025-12-07
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-07
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Euro95 E10,1.849,2025-12-07
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Euro 95,"2,128",2025-12-07
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Diesel,"2,009",2025-12-07
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,Autogas,"0,783",2025-12-07
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power,"0,000",2025-12-07
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power Diesel,"0,000",2025-12-07
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Diesel B7,1.679,2025-12-07
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Euro95 E10,1.899,2025-12-07
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.149,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.139,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.609,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.749,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.849,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-07
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,359",2025-12-10
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,986",2025-12-10
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,764",2025-12-10
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-10
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-10
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-10
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.549,2025-12-10
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.749,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.599,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.829,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,1.999,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.111,2025-12-10
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.709,2025-12-10
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.939,2025-12-10
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.149,2025-12-10
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.139,2025-12-10
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.679,2025-12-10
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-10
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Euro95 E10,1.909,2025-12-10
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Euro 95,"2,128",2025-12-10
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Diesel,"2,009",2025-12-10
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,Autogas,"0,764",2025-12-10
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power,"0,000",2025-12-10
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power Diesel,"0,000",2025-12-10
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Diesel B7,1.629,2025-12-10
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Euro95 E10,1.849,2025-12-10
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.099,2025-12-10
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.109,2025-12-10
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.589,2025-12-10
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.719,2025-12-10
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.829,2025-12-10
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-10
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,359",2025-12-11
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,984",2025-12-11
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,783",2025-12-11
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-11
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-11
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-11
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.539,2025-12-11
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.749,2025-12-11
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.599,2025-12-11
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.829,2025-12-11
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,1.999,2025-12-11
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.111,2025-12-11
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.729,2025-12-11
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.959,2025-12-11
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.159,2025-12-11
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.139,2025-12-11
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.679,2025-12-11
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-11
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Euro95 E10,1.909,2025-12-11
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Euro 95,"2,128",2025-12-11
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Diesel,"2,009",2025-12-11
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,Autogas,"0,783",2025-12-11
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power,"0,000",2025-12-11
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power Diesel,"0,000",2025-12-11
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Diesel B7,1.629,2025-12-11
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Euro95 E10,1.849,2025-12-11
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.099,2025-12-11
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.129,2025-12-11
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.599,2025-12-11
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.749,2025-12-11
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.839,2025-12-11
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-11
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,359",2025-12-13
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,981",2025-12-13
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,766",2025-12-13
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-13
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-13
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-13
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.499,2025-12-13
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.739,2025-12-13
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.589,2025-12-13
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.819,2025-12-13
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,1.989,2025-12-13
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.091,2025-12-13
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.699,2025-12-13
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.909,2025-12-13
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.139,2025-12-13
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.129,2025-12-13
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.669,2025-12-13
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-13
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Euro95 E10,1.899,2025-12-13
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Euro 95,"2,217",2025-12-13
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Diesel,"2,009",2025-12-13
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,Autogas,"0,766",2025-12-13
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power,"0,000",2025-12-13
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power Diesel,"0,000",2025-12-13
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Diesel B7,1.619,2025-12-13
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Euro95 E10,1.839,2025-12-13
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.089,2025-12-13
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.099,2025-12-13
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.579,2025-12-13
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.719,2025-12-13
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.819,2025-12-13
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-13
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,359",2025-12-14
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,981",2025-12-14
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,783",2025-12-14
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-14
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-14
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-14
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.509,2025-12-14
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.735,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.589,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.819,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,1.989,2025-12-14
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.091,2025-12-14
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.719,2025-12-14
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.929,2025-12-14
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.149,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.129,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.669,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-14
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Euro95 E10,1.899,2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Euro 95,"2,217",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,FuelSave Diesel,"2,009",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,Autogas,"0,783",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power,"0,000",2025-12-14
shell babberich,https://bg.fuelo.net/gasstation/id/37998,Esso Vissers Bergh Noord,V-Power Diesel,"0,000",2025-12-14
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Diesel B7,1.619,2025-12-14
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Euro95 E10,1.839,2025-12-14
TinQ zevenaar,https://www.tinq.nl/tankstations/zevenaar-edisonstraat#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.089,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Superplus 98 E5,2.119,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.589,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.749,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.829,2025-12-14
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-14
